Ticker,Weight (%),Alloc (Rs),Final (Rs),Return (%),B&H (%),Alpha (%),Sharpe,Max DD (%),Win Rate (%),# Trades,Profit Factor
RELIANCE.NS,2.0,20000,20000,0.0,8.37,-8.37,0.0,-0.0,0.0,0,0.0
TCS.NS,2.0,20000,20975,4.87,-32.41,37.29,1.17,-1.16,66.67,3,6.8
HDFCBANK.NS,2.0,20000,20000,0.0,-14.42,14.42,0.0,-0.0,0.0,0,0.0
ICICIBANK.NS,2.0,20000,20000,0.0,-3.66,3.66,0.0,-0.0,0.0,0,0.0
BHARTIARTL.NS,2.0,20000,20000,0.0,6.45,-6.45,0.0,-0.0,0.0,0,0.0
INFY.NS,2.0,20000,19821,-0.9,-22.96,22.07,-0.25,-3.07,50.0,2,0.72
SBIN.NS,2.0,20000,20000,0.0,29.52,-29.52,0.0,-0.0,0.0,0,0.0
HINDUNILVR.NS,2.0,20000,20000,0.0,0.05,-0.05,0.0,-0.0,0.0,0,0.0
ITC.NS,2.0,20000,19471,-2.65,-23.77,21.12,-0.93,-2.65,0.0,1,0.0
LT.NS,2.0,20000,20000,0.0,20.62,-20.62,0.0,-0.0,0.0,0,0.0
BAJFINANCE.NS,2.0,20000,20000,0.0,8.07,-8.07,0.0,-0.0,0.0,0,0.0
HCLTECH.NS,2.0,20000,19257,-3.71,-19.54,15.82,-0.72,-4.7,0.0,2,0.0
MARUTI.NS,2.0,20000,20000,0.0,15.3,-15.3,0.0,-0.0,0.0,0,0.0
SUNPHARMA.NS,2.0,20000,20000,0.0,8.68,-8.68,0.0,-0.0,0.0,0,0.0
ADANIENT.NS,2.0,20000,20000,0.0,25.54,-25.54,0.0,-0.0,0.0,0,0.0
KOTAKBANK.NS,2.0,20000,20000,0.0,-9.69,9.69,0.0,-0.0,0.0,0,0.0
TITAN.NS,2.0,20000,20000,0.0,33.95,-33.95,0.0,-0.0,0.0,0,0.0
ONGC.NS,2.0,20000,20000,0.0,15.26,-15.26,0.0,-0.0,0.0,0,0.0
NTPC.NS,2.0,20000,20000,0.0,16.18,-16.18,0.0,-0.0,0.0,0,0.0
AXISBANK.NS,2.0,20000,20476,2.38,20.36,-17.98,0.72,-2.08,100.0,1,0.0
WIPRO.NS,2.0,20000,19602,-1.99,-20.01,18.02,-0.72,-3.71,50.0,2,0.32
ULTRACEMCO.NS,2.0,20000,20000,0.0,4.55,-4.55,0.0,-0.0,0.0,0,0.0
ASIANPAINT.NS,2.0,20000,20000,0.0,17.09,-17.09,0.0,-0.0,0.0,0,0.0
BAJAJFINSV.NS,2.0,20000,20000,0.0,-6.26,6.26,0.0,-0.0,0.0,0,0.0
POWERGRID.NS,2.0,20000,20000,0.0,8.09,-8.09,0.0,-0.0,0.0,0,0.0
M&M.NS,2.0,20000,20000,0.0,19.3,-19.3,0.0,-0.0,0.0,0,0.0
NESTLEIND.NS,2.0,20000,20000,0.0,30.39,-30.39,0.0,-0.0,0.0,0,0.0
JSWSTEEL.NS,2.0,20000,20000,0.0,24.33,-24.33,0.0,-0.0,0.0,0,0.0
TATASTEEL.NS,2.0,20000,20000,0.0,42.03,-42.03,0.0,-0.0,0.0,0,0.0
TECHM.NS,2.0,20000,20518,2.59,5.25,-2.65,1.07,-0.96,100.0,1,0.0
GRASIM.NS,2.0,20000,20000,0.0,21.59,-21.59,0.0,-0.0,0.0,0,0.0
BPCL.NS,2.0,20000,20320,1.6,14.1,-12.5,0.93,-0.51,100.0,1,0.0
ADANIPORTS.NS,2.0,20000,20000,0.0,53.36,-53.36,0.0,-0.0,0.0,0,0.0
CIPLA.NS,2.0,20000,19736,-1.32,-1.31,-0.01,-0.59,-1.82,0.0,1,0.0
BRITANNIA.NS,2.0,20000,20000,0.0,7.31,-7.31,0.0,-0.0,0.0,0,0.0
EICHERMOT.NS,2.0,20000,20000,0.0,40.33,-40.33,0.0,-0.0,0.0,0,0.0
DRREDDY.NS,2.0,20000,20000,0.0,15.42,-15.42,0.0,-0.0,0.0,0,0.0
HINDALCO.NS,2.0,20000,20000,0.0,75.16,-75.16,0.0,-0.0,0.0,0,0.0
COALINDIA.NS,2.0,20000,20000,0.0,24.68,-24.68,0.0,-0.0,0.0,0,0.0
DIVISLAB.NS,2.0,20000,20000,0.0,20.52,-20.52,0.0,-0.0,0.0,0,0.0
TATACONSUM.NS,2.0,20000,20000,0.0,15.16,-15.16,0.0,-0.0,0.0,0,0.0
SBILIFE.NS,2.0,20000,20000,0.0,19.7,-19.7,0.0,-0.0,0.0,0,0.0
APOLLOHOSP.NS,2.0,20000,20000,0.0,23.2,-23.2,0.0,-0.0,0.0,0,0.0
HDFCLIFE.NS,2.0,20000,20000,0.0,-12.19,12.19,0.0,-0.0,0.0,0,0.0
INDUSINDBK.NS,2.0,20000,20000,0.0,32.72,-32.72,0.0,-0.0,0.0,0,0.0
HEROMOTOCO.NS,2.0,20000,20000,0.0,38.8,-38.8,0.0,-0.0,0.0,0,0.0
BAJAJ-AUTO.NS,2.0,20000,20000,0.0,37.28,-37.28,0.0,-0.0,0.0,0,0.0
UPL.NS,2.0,20000,20000,0.0,1.18,-1.18,0.0,-0.0,0.0,0,0.0
